"id";"films";"url"
1;https://swapi.dev/api/films/1/;https://swapi.dev/api/species/1/
1;https://swapi.dev/api/films/2/;https://swapi.dev/api/species/1/
1;https://swapi.dev/api/films/3/;https://swapi.dev/api/species/1/
1;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/1/
1;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/1/
1;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/1/
2;https://swapi.dev/api/films/1/;https://swapi.dev/api/species/2/
2;https://swapi.dev/api/films/2/;https://swapi.dev/api/species/2/
2;https://swapi.dev/api/films/3/;https://swapi.dev/api/species/2/
2;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/2/
2;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/2/
2;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/2/
3;https://swapi.dev/api/films/1/;https://swapi.dev/api/species/3/
3;https://swapi.dev/api/films/2/;https://swapi.dev/api/species/3/
3;https://swapi.dev/api/films/3/;https://swapi.dev/api/species/3/
3;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/3/
4;https://swapi.dev/api/films/1/;https://swapi.dev/api/species/4/
5;https://swapi.dev/api/films/1/;https://swapi.dev/api/species/5/
5;https://swapi.dev/api/films/3/;https://swapi.dev/api/species/5/
6;https://swapi.dev/api/films/2/;https://swapi.dev/api/species/6/
6;https://swapi.dev/api/films/3/;https://swapi.dev/api/species/6/
6;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/6/
6;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/6/
6;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/6/
7;https://swapi.dev/api/films/2/;https://swapi.dev/api/species/7/
8;https://swapi.dev/api/films/3/;https://swapi.dev/api/species/8/
9;https://swapi.dev/api/films/3/;https://swapi.dev/api/species/9/
10;https://swapi.dev/api/films/3/;https://swapi.dev/api/species/10/
11;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/11/
12;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/12/
12;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/12/
13;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/13/
13;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/13/
14;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/14/
15;https://swapi.dev/api/films/3/;https://swapi.dev/api/species/15/
15;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/15/
15;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/15/
15;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/15/
16;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/16/
17;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/17/
18;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/18/
19;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/19/
19;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/19/
20;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/20/
20;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/20/
21;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/21/
22;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/22/
23;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/23/
23;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/23/
24;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/24/
24;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/24/
25;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/25/
25;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/25/
26;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/26/
26;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/26/
27;https://swapi.dev/api/films/4/;https://swapi.dev/api/species/27/
27;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/27/
28;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/28/
28;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/28/
29;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/29/
29;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/29/
30;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/30/
30;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/30/
31;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/31/
32;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/32/
33;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/33/
33;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/33/
34;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/34/
34;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/34/
35;https://swapi.dev/api/films/5/;https://swapi.dev/api/species/35/
35;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/35/
36;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/36/
37;https://swapi.dev/api/films/6/;https://swapi.dev/api/species/37/
