"id";"pilots";"url"
1;"";https://swapi.dev/api/starships/2/
2;"";https://swapi.dev/api/starships/3/
3;"";https://swapi.dev/api/starships/5/
4;"";https://swapi.dev/api/starships/9/
5;https://swapi.dev/api/people/13/;https://swapi.dev/api/starships/10/
5;https://swapi.dev/api/people/14/;https://swapi.dev/api/starships/10/
5;https://swapi.dev/api/people/25/;https://swapi.dev/api/starships/10/
5;https://swapi.dev/api/people/31/;https://swapi.dev/api/starships/10/
6;"";https://swapi.dev/api/starships/11/
7;https://swapi.dev/api/people/1/;https://swapi.dev/api/starships/12/
7;https://swapi.dev/api/people/9/;https://swapi.dev/api/starships/12/
7;https://swapi.dev/api/people/18/;https://swapi.dev/api/starships/12/
7;https://swapi.dev/api/people/19/;https://swapi.dev/api/starships/12/
8;https://swapi.dev/api/people/4/;https://swapi.dev/api/starships/13/
9;"";https://swapi.dev/api/starships/15/
10;"";https://swapi.dev/api/starships/17/
11;https://swapi.dev/api/people/22/;https://swapi.dev/api/starships/21/
12;https://swapi.dev/api/people/1/;https://swapi.dev/api/starships/22/
12;https://swapi.dev/api/people/13/;https://swapi.dev/api/starships/22/
12;https://swapi.dev/api/people/14/;https://swapi.dev/api/starships/22/
13;"";https://swapi.dev/api/starships/23/
14;"";https://swapi.dev/api/starships/27/
15;https://swapi.dev/api/people/29/;https://swapi.dev/api/starships/28/
16;"";https://swapi.dev/api/starships/29/
17;"";https://swapi.dev/api/starships/31/
18;"";https://swapi.dev/api/starships/32/
19;https://swapi.dev/api/people/11/;https://swapi.dev/api/starships/39/
19;https://swapi.dev/api/people/35/;https://swapi.dev/api/starships/39/
19;https://swapi.dev/api/people/60/;https://swapi.dev/api/starships/39/
20;https://swapi.dev/api/people/39/;https://swapi.dev/api/starships/40/
21;https://swapi.dev/api/people/44/;https://swapi.dev/api/starships/41/
22;"";https://swapi.dev/api/starships/43/
23;"";https://swapi.dev/api/starships/47/
24;https://swapi.dev/api/people/10/;https://swapi.dev/api/starships/48/
24;https://swapi.dev/api/people/58/;https://swapi.dev/api/starships/48/
25;https://swapi.dev/api/people/35/;https://swapi.dev/api/starships/49/
26;"";https://swapi.dev/api/starships/52/
27;"";https://swapi.dev/api/starships/58/
28;https://swapi.dev/api/people/10/;https://swapi.dev/api/starships/59/
28;https://swapi.dev/api/people/11/;https://swapi.dev/api/starships/59/
29;"";https://swapi.dev/api/starships/61/
30;"";https://swapi.dev/api/starships/63/
31;https://swapi.dev/api/people/10/;https://swapi.dev/api/starships/64/
31;https://swapi.dev/api/people/35/;https://swapi.dev/api/starships/64/
32;https://swapi.dev/api/people/10/;https://swapi.dev/api/starships/65/
32;https://swapi.dev/api/people/11/;https://swapi.dev/api/starships/65/
33;"";https://swapi.dev/api/starships/66/
34;"";https://swapi.dev/api/starships/68/
35;https://swapi.dev/api/people/10/;https://swapi.dev/api/starships/74/
35;https://swapi.dev/api/people/79/;https://swapi.dev/api/starships/74/
36;"";https://swapi.dev/api/starships/75/
